uid,timestamp,prior_context(sec),prior_context_speech_rate,dixit(sec),dixit_speech_rate,whole_conv_length(sec)
4,1683560989115,6.741,1.928,74.463,0.483,229.777
5,1683599930427,6.31,1.585,46.294,0.497,113.471
5,1683605656274,6.009,1.664,18.974,1.318,84.378
11,1683610216815,7.033,0.711,36.896,1.951,92.168
4,1683625482832,7.877,2.031,226.6,0.009,377.875
4,1683630627471,7.108,2.392,49.827,0.04,215.055
11,1683630746592,8.946,1.006,99.653,0.271,177.83
4,1683635667924,7.582,1.978,121.015,0.281,247.774
11,1683635787765,6.893,0.29,35.049,0.77,91.424
4,1683640708144,6.927,2.31,170.801,0.064,302.2
11,1683640828231,6.718,0.744,39.847,0.05,110.232
7,1683644569849,8.271,0.846,80.887,0.445,205.658
4,1683645748532,7.795,2.822,26.901,0.595,157.585
4,1683650789334,6.609,1.816,42.536,0.353,153.137
6,1683651436670,8.571,0.583,22.984,1.305,86.159
5,1683683359989,6.508,1.537,19.829,1.311,106.951
5,1683688159419,7.893,0.76,22.484,1.334,281.657
10,1683711843280,7.004,1.285,27.758,1.585,95.391
7,1683714476697,7.431,1.211,25.213,1.943,90.447
15,1683715688412,127.557,0.063,261.446,0.107,509.937
10,1683716883612,7.301,1.918,96.753,0.372,145.428
7,1683719820205,12.142,1.235,25.375,2.443,86.159
15,1683720728912,10.169,0.983,36.177,0.691,187.549
9,1683721902624,77.435,0.155,17.47,1.145,325.874
7,1683723181295,20.91,0.956,22.245,2.203,87.869
7,1683725824066,7.813,1.28,49.329,0.264,123.832
9,1683726943470,6.841,1.316,16.735,1.135,69.363
11,1683729546717,6.329,0.474,43.716,0.435,110.285
15,1683730809646,9.789,0.919,26.723,0.936,148.48
9,1683731983139,6.469,1.546,19.755,0.709,90.31
10,1683732056653,7.023,1.282,149.801,0.033,201.365
11,1683732293021,6.15,0.325,28.911,0.208,97.662
11,1683734960800,6.447,1.086,18.212,0.604,86.104
4,1683737067360,6.269,2.074,33.106,0.816,147.546
10,1683737149349,7.78,1.928,36.485,2.056,89.288
11,1683740001226,6.884,1.307,35.356,0.594,95.649
5,1683769752682,28.835,0.208,24.024,0.916,134.141
5,1683779833812,6.668,1.5,21.285,1.081,98.358
5,1683794318267,6.38,1.411,52.506,0.152,116.403
11,1683794612341,6.8,1.324,26.804,0.634,84.805
11,1683802342575,6.269,0.319,65.001,0.492,134.528
7,1683803192991,7.806,2.05,32.401,1.049,84.025
4,1683803250871,6.502,1.692,72.23,0.166,174.727
11,1683805169820,6.036,0.331,33.457,0.687,117.303
16,1683805528709,6.391,1.565,39.274,0.891,178.14
20,1683806158487,10.438,0.575,129.475,0.039,220.459
11,1683807902215,7.271,0.275,22.542,0.976,72.912
15,1683808055725,10.569,1.041,73.857,0.46,193.372
4,1683808291439,6.377,1.255,37.792,0.662,105.504
7,1683810980483,8.805,1.59,151.47,0.013,305.431
4,1683813332504,6.81,2.349,237.843,0.008,316.441
10,1683813402823,6.269,1.436,31.155,1.091,128.127
7,1683813789514,5.948,0.336,43.752,0.617,95.136
16,1683815524723,7.37,1.221,78.458,0.752,219.706
11,1683816728395,6.841,0.292,17.745,1.634,63.821
15,1683820163104,6.662,1.951,19.214,2.082,60.991
16,1683820564778,7.147,0.84,37.542,0.906,96.139
7,1683821572366,7.662,2.349,27.799,0.288,71.955
11,1683821768672,6.445,0.931,18.6,0.645,63.953
4,1683823414789,6.306,1.586,30.176,0.53,101.475
10,1683823537005,6.694,1.344,23.229,1.421,126.728
7,1683877290749,8.346,2.157,20.325,1.919,184.588
20,1683877687567,9.967,0.502,349.98,0.2,410.927
4,1683879576864,6.112,1.473,27.69,1.589,92.456
10,1683879577935,5.964,1.509,30.031,1.066,79.042
4,1683884617926,6.186,2.263,25.8,2.171,84.499
7,1683885069973,28.036,0.464,21.68,2.399,107.861
11,1683885962454,6.921,1.878,21.312,2.205,71.189
7,1683887717887,9.084,2.092,34.974,0.915,96.331
3,1683887968255,7.845,0.255,31.437,0.254,163.69
20,1683889634080,80.659,0.062,44.807,2.41,252.611
9,1683889658967,9.681,1.343,136.342,0.073,210.178
19,1683890693844,7.144,0.28,28.404,0.599,185.779
11,1683894205371,7.451,0.671,18.12,1.435,71.023
4,1683894699300,6.287,2.068,154.742,0.013,210.562
9,1683894699377,8.447,1.657,41.345,0.242,161.612
19,1683895917557,6.311,0.317,31.677,0.474,88.223
15,1683897659316,13.635,0.44,26.357,1.176,96.913
9,1683899739890,6.452,1.55,16.443,1.277,61.276
4,1683899740500,6.966,2.297,27.424,1.568,84.69
3,1683899766276,9.867,0.912,18.16,1.101,117.912
11,1683899868879,7.024,0.285,31.177,1.315,79.505
15,1683900433930,8.217,1.095,208.448,0.13,355.201
19,1683900774776,6.21,0.322,49.84,0.221,107.691
7,1683902365842,9.762,1.639,23.445,2.005,102.539
15,1683903077478,7.284,1.236,64.242,0.529,145.643
7,1683905060100,11.715,1.622,23.037,2.344,144.187
10,1683909870885,6.96,1.293,30.018,0.999,169.467
7,1683910092865,8.273,2.055,22.189,1.758,85.147
8,1683916335569,7.032,1.28,50.341,0.119,122.445
11,1683933227149,8.567,0.117,19.408,0.567,71.787
9,1683933580274,8.48,1.179,15.46,0.906,133.192
11,1683935874753,7.383,1.084,25.799,0.62,89.356
9,1683938620545,6.856,1.459,83.281,0.012,165.737
11,1683940055072,6.699,0.299,19.084,0.786,62.784
11,1683942980065,13.029,0.691,27.015,1.222,81.612
9,1683943660844,10.491,0.953,58.809,0.017,190.552
11,1683946147199,31.786,0.315,30.798,0.844,116.1
5,1683947971052,7.366,1.358,196.943,0.071,325.083
2,1683954922665,12.127,0.495,26.167,1.032,88.065
19,1683955195407,5.915,0.338,121.831,0.09,169.391
20,1683960010041,8.714,1.148,52.952,0.283,114.49
19,1683960235602,7.211,0.277,25.551,0.078,70.071
1,1683963806455,7.97,0.627,77.311,0.207,132.796
20,1683965102349,8.424,1.425,40.449,2.25,150.285
19,1683965276186,6.602,0.454,27.966,0.393,73.023
20,1683968082705,6.684,0.748,38.668,3.336,149.942
2,1683970012920,6.702,0.298,102.304,0.274,147.126
19,1683970316686,5.873,0.341,27.99,0.357,83.103
16,1683984462534,6.69,1.046,19.721,1.521,131.634
17,1683984621615,8.598,1.628,29.791,1.611,78.962
16,1683987104134,6.668,1.35,21.377,1.403,82.726
20,1683987794606,6.948,1.727,204.09,0.421,260.131
17,1683987885635,8.807,0.681,26.126,2.564,78.624
7,1683992696876,8.481,2.122,23.742,1.98,219.474
16,1683995294270,6.709,1.789,47.851,0.251,123.363
10,1683996212519,6.826,0.879,33.188,1.205,150.539
8,1683997016838,6.576,1.217,35.119,1.595,83.21
8,1684002109675,6.724,1.19,25.856,1.354,84.374
16,1684002132292,7.287,1.647,60.632,0.082,121.899
11,1684016349145,15.898,0.063,25.939,0.463,90.776
11,1684019574762,6.797,0.147,21.059,0.95,69.153
9,1684019983449,6.954,1.438,17.465,0.687,72.43
1,1684020972940,7.458,0.67,38.248,0.157,88.808
4,1684023590084,6.346,1.891,25.321,1.501,80.99
1,1684023600436,7.193,0.973,40.122,0.374,85.261
11,1684024615774,6.69,1.345,25.069,0.718,73.564
9,1684025023896,35.168,0.284,22.164,0.226,100.03
11,1684027937331,7.41,0.675,18.57,1.185,65.378
4,1684028630266,6.321,1.74,45.849,0.393,106.741
9,1684030065149,7.35,1.905,20.062,0.798,70.55
4,1684033672499,6.479,0.772,31.536,0.476,90.295
4,1684038712461,6.518,1.381,22.14,1.174,141.42
4,1684043754388,6.34,2.05,25.054,0.798,74.29
1,1684043867732,6.354,0.787,25.515,0.627,74.774
4,1684048847082,6.442,2.018,37.418,0.267,92.459
20,1684049050124,6.766,1.478,41.513,1.638,100.147
10,1684049975400,7.228,1.937,30.038,0.766,543.851
3,1684050108495,8.006,0.25,18.858,0.955,91.702
7,1684050294996,9.812,2.548,21.865,1.738,75.718
2,1684051124965,6.675,0.899,54.889,0.255,108.186
